"AccountExpirationDate","accountExpires","AccountLockoutTime","AccountNotDelegated","AllowReversiblePasswordEncryption","AuthenticationPolicy","AuthenticationPolicySilo","BadLogonCount","CannotChangePassword","CanonicalName","Certificates","City","CN","codePage","Company","CompoundIdentitySupported","Country","countryCode","Created","createTimeStamp","Deleted","Department","Description","DisplayName","DistinguishedName","Division","DoesNotRequirePreAuth","dSCorePropagationData","EmailAddress","EmployeeID","EmployeeNumber","Enabled","Fax","GivenName","HomeDirectory","HomedirRequired","HomeDrive","HomePage","HomePhone","Initials","instanceType","isCriticalSystemObject","isDeleted","KerberosEncryptionType","LastBadPasswordAttempt","LastKnownParent","LastLogonDate","LockedOut","LogonWorkstations","Manager","MemberOf","MNSLogonAccount","MobilePhone","Modified","modifyTimeStamp","msDS-User-Account-Control-Computed","Name","nTSecurityDescriptor","ObjectCategory","ObjectClass","ObjectGUID","objectSid","Office","OfficePhone","Organization","OtherName","PasswordExpired","PasswordLastSet","PasswordNeverExpires","PasswordNotRequired","POBox","PostalCode","PrimaryGroup","primaryGroupID","PrincipalsAllowedToDelegateToAccount","ProfilePath","ProtectedFromAccidentalDeletion","pwdLastSet","SamAccountName","sAMAccountType","ScriptPath","sDRightsEffective","ServicePrincipalNames","SID","SIDHistory","SmartcardLogonRequired","State","StreetAddress","Surname","Title","TrustedForDelegation","TrustedToAuthForDelegation","UseDESKeyOnly","userAccountControl","userCertificate","UserPrincipalName","uSNChanged","uSNCreated","whenChanged","whenCreated","PropertyNames","AddedProperties","RemovedProperties","ModifiedProperties","PropertyCount"
,"9223372036854775807",,"False","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"True","MobileLab.home/Users/Guest","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"Guest","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","1/28/2020 4:53:25 PM","1/28/2020 4:53:25 PM",,,"Built-in account for guest access to the computer/domain",,"CN=Guest,CN=Users,DC=MobileLab,DC=home",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,,"False",,,,,"4","True",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"6/28/2020 8:12:29 PM","6/28/2020 8:12:29 PM","0","Guest","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=MobileLab,DC=home","user","7d129bfb-adff-4583-a5b0-6a827ceb7f1b","S-1-5-21-3036625279-3127291219-2495432101-501",,,,,"False",,"True","True",,,"CN=Domain Guests,CN=Users,DC=MobileLab,DC=home","514","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","0","Guest","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-3036625279-3127291219-2495432101-501","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","66082","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"7978","7978","6/28/2020 8:12:29 PM","1/28/2020 4:53:25 PM","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","100"
,"9223372036854775807",,"False","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","MobileLab.home/Users/krbtgt","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"krbtgt","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","1/28/2020 4:55:07 PM","1/28/2020 4:55:07 PM",,,"Key Distribution Center Service Account",,"CN=krbtgt,CN=Users,DC=MobileLab,DC=home",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,,"False",,,,,"4","True",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"6/28/2020 8:12:29 PM","6/28/2020 8:12:29 PM","8388608","krbtgt","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=MobileLab,DC=home","user","828c919a-00dd-4bbc-95e5-1c3a475bb7ed","S-1-5-21-3036625279-3127291219-2495432101-502",,,,,"True","1/28/2020 4:55:07 PM","False","False",,,"CN=Domain Users,CN=Users,DC=MobileLab,DC=home","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","132247329079532933","krbtgt","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-3036625279-3127291219-2495432101-502","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","514","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"8018","8018","6/28/2020 8:12:29 PM","1/28/2020 4:55:07 PM","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","104"
,"0",,"False","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","False","MobileLab.home/Users/Administrator","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"Administrator","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","1/28/2020 4:53:25 PM","1/28/2020 4:53:25 PM",,,"Built-in account for administering the computer/domain",,"CN=Administrator,CN=Users,DC=MobileLab,DC=home",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"True",,,,"False",,,,,"4","True",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","5/5/2021 10:51:13 AM",,"5/16/2021 10:46:24 AM","False",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"5/16/2021 10:46:24 AM","5/16/2021 10:46:24 AM","0","Administrator","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=MobileLab,DC=home","user","f5630cd3-c3c1-4306-bff6-a39a0594086d","S-1-5-21-3036625279-3127291219-2495432101-500",,,,,"False","1/20/2020 10:29:02 PM","True","False",,,"CN=Domain Users,CN=Users,DC=MobileLab,DC=home","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","132240617429186642","Administrator","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-3036625279-3127291219-2495432101-500","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","66048","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"131153","8032","5/16/2021 10:46:24 AM","1/28/2020 4:53:25 PM","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","110"
,"9223372036854775807",,"False","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","MobileLab.home/East Coast Employees/admin","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"admin","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","4/15/2020 2:10:02 PM","4/15/2020 2:10:02 PM",,,,"admin","CN=admin,OU=East Coast Employees,DC=MobileLab,DC=home",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"True",,"admin",,"False",,,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,"3/22/2021 9:17:19 PM","False",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"5/16/2021 9:37:12 PM","5/16/2021 9:37:12 PM","0","admin","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=MobileLab,DC=home","user","69676915-fc1c-4c53-bbc1-48e23b64724f","S-1-5-21-3036625279-3127291219-2495432101-1135",,,,,"False","4/15/2020 2:10:02 PM","True","False",,,"CN=Domain Users,CN=Users,DC=MobileLab,DC=home","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","132314586025876958","admin","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-3036625279-3127291219-2495432101-1135","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","66048","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","admin@MobileLab.home","131289","8479","5/16/2021 9:37:12 PM","4/15/2020 2:10:02 PM","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","103"
,"9223372036854775807",,"False","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"True","MobileLab.home/West Coast Employees/user","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"user","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","4/15/2020 2:01:43 PM","4/15/2020 2:01:43 PM",,,,"user","CN=user,OU=West Coast Employees,DC=MobileLab,DC=home",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"True",,"user",,"False",,,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,"5/6/2021 9:23:03 PM","False",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"5/16/2021 9:36:51 PM","5/16/2021 9:36:51 PM","0","user","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=MobileLab,DC=home","user","36bbd4c8-7cba-41af-b100-93a215a84e85","S-1-5-21-3036625279-3127291219-2495432101-1134",,,,,"False","4/15/2020 2:01:43 PM","True","False",,,"CN=Domain Users,CN=Users,DC=MobileLab,DC=home","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","132314581033776687","user","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-3036625279-3127291219-2495432101-1134","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","66048","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","user@MobileLab.home","131279","8459","5/16/2021 9:36:51 PM","4/15/2020 2:01:43 PM","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","102"
,"9223372036854775807",,"False","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","False","MobileLab.home/East Coast Employees/Dan","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"Dan","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","1/29/2020 4:54:03 PM","1/29/2020 4:54:03 PM",,,,"Dan","CN=Dan,OU=East Coast Employees,DC=MobileLab,DC=home",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"True",,"Dan",,"False",,,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","4/12/2021 1:21:50 PM",,"5/4/2021 4:48:09 PM","False",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"5/16/2021 9:37:12 PM","5/16/2021 9:37:12 PM","0","Dan","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=MobileLab,DC=home","user","720ecd38-9e68-4603-ae12-3ed692d1886c","S-1-5-21-3036625279-3127291219-2495432101-1117",,,,,"False","3/22/2021 9:18:40 PM","True","False",,,"CN=Domain Users,CN=Users,DC=MobileLab,DC=home","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","132609467205956546","Dan","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-3036625279-3127291219-2495432101-1117","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","66048","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Dan@MobileLab.home","131287","8458","5/16/2021 9:37:12 PM","1/29/2020 4:54:03 PM","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","108"
,"9223372036854775807",,"False","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","MobileLab.home/West Coast Employees/test002","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"test002","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","6/6/2020 4:44:49 PM","6/6/2020 4:44:49 PM",,,,,"CN=test002,OU=West Coast Employees,DC=MobileLab,DC=home",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,,"False",,,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"5/16/2021 9:36:51 PM","5/16/2021 9:36:51 PM","8388608","test002","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=MobileLab,DC=home","user","718576d6-d8b2-45d5-8b7c-27dea8f15e37","S-1-5-21-3036625279-3127291219-2495432101-1393",,,,,"True",,"False","False",,,"CN=Domain Users,CN=Users,DC=MobileLab,DC=home","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","0","test002","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-3036625279-3127291219-2495432101-1393","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","514","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"131280","8764","5/16/2021 9:36:51 PM","6/6/2020 4:44:49 PM","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","99"
"7/8/2025 12:00:00 AM","133964316000000000",,"False","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","MobileLab.home/West Coast Employees/test001","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"test001","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","6/6/2020 4:44:46 PM","6/6/2020 4:44:46 PM",,,,,"CN=test001,OU=West Coast Employees,DC=MobileLab,DC=home",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,,"False",,,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"5/16/2021 9:36:51 PM","5/16/2021 9:36:51 PM","8388608","test001","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=MobileLab,DC=home","user","a3318989-9f74-4791-a49f-19db90375124","S-1-5-21-3036625279-3127291219-2495432101-1392",,,,,"True",,"False","False",,,"CN=Domain Users,CN=Users,DC=MobileLab,DC=home","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","0","test001","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-3036625279-3127291219-2495432101-1392","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","514","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"131281","8766","5/16/2021 9:36:51 PM","6/6/2020 4:44:46 PM","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","99"
,"9223372036854775807",,"False","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","False","MobileLab.home/West Coast Employees/SmartCardAccount","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"SmartCardAccount","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","2/21/2021 11:34:11 PM","2/21/2021 11:34:11 PM",,,,"SmartCardAccount","CN=SmartCardAccount,OU=West Coast Employees,DC=MobileLab,DC=home",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"True",,"SmartCardAccount",,"False",,,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"False",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"5/16/2021 9:36:51 PM","5/16/2021 9:36:51 PM","0","SmartCardAccount","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=MobileLab,DC=home","user","cf9fc305-c1cd-4c11-9050-1e79e2fe7998","S-1-5-21-3036625279-3127291219-2495432101-2613",,,,,"False",,"False","False",,,"CN=Domain Users,CN=Users,DC=MobileLab,DC=home","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","0","SmartCardAccount","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-3036625279-3127291219-2495432101-2613","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","True",,,,,"False","False","False","262656","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","SmartCardAccount@MobileLab.home","131282","46084","5/16/2021 9:36:51 PM","2/21/2021 11:34:11 PM","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","105"
,"9223372036854775807",,"False","False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","0","False","MobileLab.home/East Coast Employees/BadLoginAccount","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"BadLoginAccount","0",,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"0","2/21/2021 11:36:16 PM","2/21/2021 11:36:16 PM",,,,"BadLoginAccount","CN=BadLoginAccount,OU=East Coast Employees,DC=MobileLab,DC=home",,"False","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,,,"True",,"BadLoginAccount",,"False",,,,,"4",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","2/21/2021 11:37:57 PM",,"2/21/2021 11:38:00 PM","False",,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,"5/16/2021 9:37:12 PM","5/16/2021 9:37:12 PM","0","BadLoginAccount","System.DirectoryServices.ActiveDirectorySecurity","CN=Person,CN=Schema,CN=Configuration,DC=MobileLab,DC=home","user","126046a3-42f8-4b83-8b15-773e0c6f6aef","S-1-5-21-3036625279-3127291219-2495432101-2614",,,,,"False","2/21/2021 11:36:16 PM","True","False",,,"CN=Domain Users,CN=Users,DC=MobileLab,DC=home","513","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection",,"False","132584529764038499","BadLoginAccount","805306368",,"15","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","S-1-5-21-3036625279-3127291219-2495432101-2614","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","False",,,,,"False","False","False","66048","Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","BadLoginAccount@MobileLab.home","131288","46094","5/16/2021 9:37:12 PM","2/21/2021 11:36:16 PM","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","System.Collections.Generic.HashSet`1[System.String]","105"
